run_date,reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,scheduled_charter,number_flights_matched,actual_flights_unmatched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_unmatched_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
16/07/2025 11:13,202505,ABERDEEN,POLAND,GDANSK,WIZZ AIR,S,26,0,0,30.769231,57.692308,11.538462,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18,88.888889,15.833333
16/07/2025 11:13,202505,ABERDEEN,POLAND,KRAKOW,RYANAIR,S,18,0,0,0.000000,44.444444,55.555556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.888889,0,0.000000,0.000000
16/07/2025 11:13,202505,ABERDEEN,UNITED KINGDOM,BELFAST CITY (GEORGE BEST),LOGANAIR LTD,S,54,0,0,20.370370,66.666667,5.555556,1.851852,1.851852,0.000000,3.703704,0.000000,0.000000,0.000000,0.000000,7.111111,62,83.870968,12.822581
16/07/2025 11:13,202505,ABERDEEN,UNITED KINGDOM,BIRMINGHAM,LOGANAIR LTD,S,152,0,1,16.339869,58.169935,20.915033,1.960784,0.653595,1.307190,0.000000,0.000000,0.000000,0.000000,0.653595,2.381579,158,86.708861,6.645570
16/07/2025 11:13,202505,ABERDEEN,UNITED KINGDOM,BRISTOL,LOGANAIR LTD,S,43,0,1,27.272727,50.000000,20.454545,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.272727,1.139535,54,88.888889,6.240741
16/07/2025 11:13,202505,ABERDEEN,UNITED KINGDOM,DUNDEE,LOGANAIR LTD,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,100.000000,0.000000
16/07/2025 11:13,202505,ABERDEEN,UNITED KINGDOM,HUMBERSIDE,EASTERN AIRWAYS,S,38,0,7,0.000000,44.444444,24.444444,2.222222,4.444444,6.666667,0.000000,2.222222,0.000000,0.000000,15.555556,20.105263,58,44.444444,26.879310
16/07/2025 11:13,202505,ABERDEEN,UNITED KINGDOM,INVERNESS,EASYJET UK LTD,S,2,0,0,50.000000,0.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.500000,0,0.000000,0.000000
16/07/2025 11:13,202505,ABERDEEN,UNITED KINGDOM,KIRKWALL,LOGANAIR LTD,C,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,100.000000,5.000000
16/07/2025 11:13,202505,ABERDEEN,UNITED KINGDOM,KIRKWALL,LOGANAIR LTD,S,143,0,2,13.793103,51.724138,28.275862,3.448276,0.689655,0.000000,0.000000,0.689655,0.000000,0.000000,1.379310,3.734266,124,75.000000,13.024194
