run_date,reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,scheduled_charter,number_flights_matched,actual_flights_unmatched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_unmatched_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
14/03/2025 09:54,202501,ABERDEEN,POLAND,GDANSK,WIZZ AIR,S,26,0,0,15.384615,53.846154,15.384615,0.000000,11.538462,3.846154,0.000000,0.000000,0.000000,0.000000,0.000000,8.692308,18,44.444444,68.111111
14/03/2025 09:54,202501,ABERDEEN,UNITED KINGDOM,BELFAST CITY (GEORGE BEST),LOGANAIR LTD,S,32,0,2,5.882353,47.058824,8.823529,14.705882,5.882353,0.000000,0.000000,5.882353,5.882353,0.000000,5.882353,52.187500,31,41.666667,48.258065
14/03/2025 09:54,202501,ABERDEEN,UNITED KINGDOM,BIRMINGHAM,LOGANAIR LTD,S,101,0,7,10.185185,34.259259,24.074074,7.407407,6.481481,4.629630,2.777778,3.703704,0.000000,0.000000,6.481481,23.039604,109,73.275862,15.394495
14/03/2025 09:54,202501,ABERDEEN,UNITED KINGDOM,BRISTOL,LOGANAIR LTD,S,34,0,3,21.621622,27.027027,16.216216,8.108108,5.405405,8.108108,5.405405,0.000000,0.000000,0.000000,8.108108,20.794118,39,78.260870,3.641026
14/03/2025 09:54,202501,ABERDEEN,UNITED KINGDOM,EDINBURGH,LOGANAIR LTD,S,1,0,0,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27.000000,2,0.000000,43.000000
14/03/2025 09:54,202501,ABERDEEN,UNITED KINGDOM,GLASGOW,LOGANAIR LTD,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,42.000000
14/03/2025 09:54,202501,ABERDEEN,UNITED KINGDOM,HUMBERSIDE,EASTERN AIRWAYS,S,44,0,4,0.000000,41.666667,16.666667,10.416667,6.250000,12.500000,4.166667,0.000000,0.000000,0.000000,8.333333,27.454545,57,50.666667,28.087719
14/03/2025 09:54,202501,ABERDEEN,UNITED KINGDOM,KIRKWALL,LOGANAIR LTD,S,113,0,11,16.935484,25.000000,24.193548,9.677419,4.838710,7.258065,0.806452,2.419355,0.000000,0.000000,8.870968,21.566372,75,37.272727,37.026667
14/03/2025 09:54,202501,ABERDEEN,UNITED KINGDOM,GATWICK,EASYJET UK LTD,S,122,0,4,17.460317,40.476190,17.460317,6.349206,3.968254,3.174603,3.968254,2.380952,1.587302,0.000000,3.174603,26.180328,124,85.483871,6.508065
14/03/2025 09:54,202501,ABERDEEN,UNITED KINGDOM,HEATHROW,BRITISH AIRWAYS PLC,S,440,0,36,15.966387,40.756303,18.907563,8.193277,4.831933,2.731092,0.210084,0.630252,0.210084,0.000000,7.563025,10.479545,341,78.571429,9.478006
14/03/2025 09:54,202501,ABERDEEN,UNITED KINGDOM,LUTON,EASYJET UK LTD,S,20,0,1,0.000000,47.619048,14.285714,19.047619,9.523810,0.000000,4.761905,0.000000,0.000000,0.000000,4.761905,15.850000,12,83.333333,10.166667
14/03/2025 09:54,202501,ABERDEEN,UNITED KINGDOM,MANCHESTER,LOGANAIR LTD,S,102,0,15,12.820513,34.188034,23.931624,4.273504,6.837607,0.000000,1.709402,3.418803,0.000000,0.000000,12.820513,16.529412,127,68.702290,20.015748
14/03/2025 09:54,202501,ABERDEEN,UNITED KINGDOM,NEWCASTLE,LOGANAIR LTD,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,54,66.666667,16.222222
14/03/2025 09:54,202501,ABERDEEN,UNITED KINGDOM,NEWQUAY,LOGANAIR LTD,S,31,0,1,9.375000,21.875000,25.000000,15.625000,3.125000,6.250000,9.375000,6.250000,0.000000,0.000000,3.125000,40.903226,14,80.000000,7.142857
14/03/2025 09:54,202501,ABERDEEN,UNITED KINGDOM,NORWICH,LOGANAIR LTD,S,87,0,6,9.677419,43.010753,20.430108,7.526882,2.150538,4.301075,3.225806,3.225806,0.000000,0.000000,6.451613,20.402299,82,72.413793,11.792683
14/03/2025 09:54,202501,ABERDEEN,UNITED KINGDOM,SUMBURGH,EASTERN AIRWAYS,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,34.000000
14/03/2025 09:54,202501,ABERDEEN,UNITED KINGDOM,SUMBURGH,LOGANAIR LTD,S,124,0,14,5.072464,27.536232,27.536232,10.869565,3.623188,8.695652,1.449275,2.898551,2.173913,0.000000,10.144928,39.185484,80,34.108527,22.087500
14/03/2025 09:54,202501,ABERDEEN,UNITED KINGDOM,SOUTHAMPTON,LOGANAIR LTD,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21,47.826087,26.952381
14/03/2025 09:54,202501,ABERDEEN,UNITED KINGDOM,STORNOWAY,LOGANAIR LTD,S,0,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,1,100.000000,3.000000
14/03/2025 09:54,202501,ABERDEEN,UNITED KINGDOM,TEESSIDE INTERNATIONAL AIRPORT,EASTERN AIRWAYS,S,48,0,4,11.538462,42.307692,5.769231,7.692308,7.692308,11.538462,1.923077,3.846154,0.000000,0.000000,7.692308,31.708333,0,0.000000,0.000000
14/03/2025 09:54,202501,ABERDEEN,UNITED KINGDOM,TEESSIDE INTERNATIONAL AIRPORT,LOGANAIR LTD,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,45,74.074074,10.511111
14/03/2025 09:54,202501,ABERDEEN,UNITED KINGDOM,WICK JOHN O GROATS,EASTERN AIRWAYS,S,54,0,22,13.157895,25.000000,14.473684,3.947368,9.210526,5.263158,0.000000,0.000000,0.000000,0.000000,28.947368,14.833333,66,31.372549,31.666667
14/03/2025 09:54,202501,ABERDEEN,DENMARK,COPENHAGEN,SAS,S,10,0,0,0.000000,60.000000,40.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.100000,0,0.000000,0.000000
14/03/2025 09:54,202501,ABERDEEN,DENMARK,ESBJERG,LOGANAIR LTD,S,24,0,2,7.692308,26.923077,15.384615,3.846154,15.384615,0.000000,7.692308,15.384615,0.000000,0.000000,7.692308,56.166667,26,53.846154,32.692308
14/03/2025 09:54,202501,ABERDEEN,IRISH REPUBLIC,DUBLIN,AER LINGUS,S,64,0,4,11.764706,30.882353,29.411765,11.764706,2.941176,2.941176,2.941176,1.470588,0.000000,0.000000,5.882353,16.265625,52,59.259259,17.961538
14/03/2025 09:54,202501,ABERDEEN,IRISH REPUBLIC,DUBLIN,LOGANAIR LTD,S,48,0,2,12.000000,30.000000,18.000000,8.000000,14.000000,6.000000,0.000000,8.000000,0.000000,0.000000,4.000000,32.687500,44,60.869565,22.113636
14/03/2025 09:54,202501,ABERDEEN,NETHERLANDS,AMSTERDAM,KLM,S,72,0,20,0.000000,15.217391,38.043478,9.782609,9.782609,3.260870,2.173913,0.000000,0.000000,0.000000,21.739130,17.986111,34,61.224490,6.000000
14/03/2025 09:54,202501,ABERDEEN,NETHERLANDS,AMSTERDAM,KLM CITYHOPPER,S,194,0,0,1.030928,25.773196,42.783505,10.309278,7.731959,6.701031,4.639175,0.515464,0.515464,0.000000,0.000000,23.912371,226,72.246696,20.858407
14/03/2025 09:54,202501,ABERDEEN,NORWAY,BERGEN,WIDEROE FLYVESELSKAP A/S,S,98,0,8,3.773585,39.622642,30.188679,4.716981,7.547170,5.660377,0.943396,0.000000,0.000000,0.000000,7.547170,13.724490,100,76.190476,11.280000
14/03/2025 09:54,202501,ABERDEEN,NORWAY,HAUGESUND,EASTERN AIRWAYS,C,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,50.000000,0.000000
14/03/2025 09:54,202501,ABERDEEN,NORWAY,STAVANGER,SAS,S,74,0,4,17.948718,52.564103,12.820513,2.564103,3.846154,2.564103,1.282051,1.282051,0.000000,0.000000,5.128205,10.027027,62,58.571429,33.064516
