run_date,reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,scheduled_charter,number_flights_matched,actual_flights_unmatched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_unmatched_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
16/06/2025 11:24,202504,ABERDEEN,POLAND,GDANSK,WIZZ AIR,S,26,0,0,11.538462,46.153846,19.230769,7.692308,0.000000,0.000000,15.384615,0.000000,0.000000,0.000000,0.000000,27.692308,18,88.888889,6.000000
16/06/2025 11:24,202504,ABERDEEN,POLAND,KRAKOW,RYANAIR,S,17,0,1,11.111111,66.666667,11.111111,0.000000,0.000000,0.000000,5.555556,0.000000,0.000000,0.000000,5.555556,10.882353,0,0.000000,0.000000
16/06/2025 11:24,202504,ABERDEEN,UNITED KINGDOM,BELFAST CITY (GEORGE BEST),LOGANAIR LTD,S,52,0,0,15.384615,63.461538,19.230769,1.923077,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.634615,57,75.438596,11.333333
16/06/2025 11:24,202504,ABERDEEN,UNITED KINGDOM,BELFAST INTERNATIONAL,LOGANAIR LTD,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,336.000000
16/06/2025 11:24,202504,ABERDEEN,UNITED KINGDOM,BIRMINGHAM,LOGANAIR LTD,S,143,0,2,11.724138,62.068966,18.620690,4.827586,0.689655,0.689655,0.000000,0.000000,0.000000,0.000000,1.379310,2.384615,138,81.690141,8.652174
16/06/2025 11:24,202504,ABERDEEN,UNITED KINGDOM,BRISTOL,LOGANAIR LTD,S,42,0,0,35.714286,35.714286,19.047619,2.380952,7.142857,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.809524,50,82.692308,9.320000
16/06/2025 11:24,202504,ABERDEEN,UNITED KINGDOM,EAST MIDLANDS INTERNATIONAL,EASTERN AIRWAYS,C,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,100.000000,13.000000
16/06/2025 11:24,202504,ABERDEEN,UNITED KINGDOM,GLASGOW,EASYJET UK LTD,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,52.000000
16/06/2025 11:24,202504,ABERDEEN,UNITED KINGDOM,HUMBERSIDE,EASTERN AIRWAYS,S,43,0,2,2.222222,35.555556,37.777778,11.111111,6.666667,2.222222,0.000000,0.000000,0.000000,0.000000,4.444444,9.860465,70,59.340659,13.700000
16/06/2025 11:24,202504,ABERDEEN,UNITED KINGDOM,ISLE OF MAN,LOGANAIR LTD,S,1,0,0,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000
16/06/2025 11:24,202504,ABERDEEN,UNITED KINGDOM,KIRKWALL,LOGANAIR LTD,S,134,0,0,28.358209,48.507463,14.179104,4.477612,2.985075,0.000000,1.492537,0.000000,0.000000,0.000000,0.000000,4.582090,102,84.466019,11.754902
16/06/2025 11:24,202504,ABERDEEN,UNITED KINGDOM,GATWICK,EASYJET UK LTD,S,120,0,0,15.000000,61.666667,19.166667,0.833333,2.500000,0.833333,0.000000,0.000000,0.000000,0.000000,0.000000,2.500000,120,81.666667,9.600000
16/06/2025 11:24,202504,ABERDEEN,UNITED KINGDOM,HEATHROW,BRITISH AIRWAYS PLC,S,361,0,0,11.911357,60.664820,20.221607,3.601108,1.939058,0.554017,1.108033,0.000000,0.000000,0.000000,0.000000,4.750693,379,71.898734,11.361478
16/06/2025 11:24,202504,ABERDEEN,UNITED KINGDOM,LUTON,EASYJET UK LTD,S,50,0,0,12.000000,58.000000,22.000000,6.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.920000,70,84.285714,12.514286
16/06/2025 11:24,202504,ABERDEEN,UNITED KINGDOM,MANCHESTER,LOGANAIR LTD,S,153,0,2,18.709677,52.903226,17.419355,2.580645,5.161290,1.935484,0.000000,0.000000,0.000000,0.000000,1.290323,5.104575,148,77.922078,10.783784
16/06/2025 11:24,202504,ABERDEEN,UNITED KINGDOM,NEWCASTLE,LOGANAIR LTD,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30,83.870968,7.466667
16/06/2025 11:24,202504,ABERDEEN,UNITED KINGDOM,NEWQUAY,EASTERN AIRWAYS,C,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2,50.000000,26.000000
16/06/2025 11:24,202504,ABERDEEN,UNITED KINGDOM,NEWQUAY,LOGANAIR LTD,S,25,0,0,8.000000,36.000000,40.000000,16.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.960000,40,82.926829,8.075000
16/06/2025 11:24,202504,ABERDEEN,UNITED KINGDOM,NORWICH,LOGANAIR LTD,S,92,0,0,14.130435,61.956522,10.869565,6.521739,3.260870,1.086957,1.086957,1.086957,0.000000,0.000000,0.000000,7.760870,90,80.851064,12.644444
16/06/2025 11:24,202504,ABERDEEN,UNITED KINGDOM,SUMBURGH,EASTERN AIRWAYS,S,4,0,1,0.000000,0.000000,0.000000,20.000000,20.000000,0.000000,40.000000,0.000000,0.000000,0.000000,20.000000,88.000000,0,0.000000,0.000000
16/06/2025 11:24,202504,ABERDEEN,UNITED KINGDOM,SUMBURGH,LOGANAIR LTD,S,167,0,0,17.365269,44.910180,28.742515,6.586826,2.395210,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.455090,159,63.372093,30.408805
16/06/2025 11:24,202504,ABERDEEN,UNITED KINGDOM,SOUTHAMPTON,LOGANAIR LTD,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21,52.380952,40.761905
16/06/2025 11:24,202504,ABERDEEN,UNITED KINGDOM,TEESSIDE INTERNATIONAL AIRPORT,EASTERN AIRWAYS,S,51,0,6,7.017544,47.368421,19.298246,7.017544,3.508772,0.000000,1.754386,3.508772,0.000000,0.000000,10.526316,16.470588,0,0.000000,0.000000
16/06/2025 11:24,202504,ABERDEEN,UNITED KINGDOM,TEESSIDE INTERNATIONAL AIRPORT,LOGANAIR LTD,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,48,82.000000,14.979167
16/06/2025 11:24,202504,ABERDEEN,UNITED KINGDOM,WICK JOHN O GROATS,EASTERN AIRWAYS,S,47,0,46,5.376344,18.279570,19.354839,2.150538,1.075269,2.150538,2.150538,0.000000,0.000000,0.000000,49.462366,12.872340,86,68.000000,20.511628
16/06/2025 11:24,202504,ABERDEEN,DENMARK,COPENHAGEN,SAS,S,18,0,0,0.000000,72.222222,27.777778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.277778,16,87.500000,6.625000
16/06/2025 11:24,202504,ABERDEEN,DENMARK,ESBJERG,LOGANAIR LTD,S,33,0,0,36.363636,42.424242,21.212121,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.424242,40,85.714286,11.275000
16/06/2025 11:24,202504,ABERDEEN,ICELAND,AKUREYRI,ICELANDAIR,C,2,0,0,50.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000
16/06/2025 11:24,202504,ABERDEEN,ICELAND,KEFLAVIK,ICELANDAIR,C,2,0,0,50.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000
