run_date,reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,scheduled_charter,number_flights_matched,actual_flights_unmatched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_unmatched_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
29/07/2024 11:48,202405,ABERDEEN,POLAND,GDANSK,WIZZ AIR,S,18,0,0,27.777778,33.333333,27.777778,0.000000,0.000000,5.555556,5.555556,0.000000,0.000000,0.000000,0.000000,15.833333,18,83.333333,5.777778
29/07/2024 11:48,202405,ABERDEEN,UNITED KINGDOM,BELFAST CITY (GEORGE BEST),LOGANAIR LTD,S,62,0,0,14.516129,53.225806,16.129032,3.225806,4.838710,4.838710,3.225806,0.000000,0.000000,0.000000,0.000000,12.822581,51,76.923077,24.705882
29/07/2024 11:48,202405,ABERDEEN,UNITED KINGDOM,BIRMINGHAM,LOGANAIR LTD,S,158,0,0,8.860759,54.430380,23.417722,6.962025,3.797468,2.531646,0.000000,0.000000,0.000000,0.000000,0.000000,6.645570,134,69.718310,16.425373
29/07/2024 11:48,202405,ABERDEEN,UNITED KINGDOM,BRISTOL,LOGANAIR LTD,S,54,0,0,27.777778,35.185185,25.925926,7.407407,0.000000,3.703704,0.000000,0.000000,0.000000,0.000000,0.000000,6.240741,51,77.777778,10.862745
29/07/2024 11:48,202405,ABERDEEN,UNITED KINGDOM,DUNDEE,LOGANAIR LTD,S,1,0,0,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000
29/07/2024 11:48,202405,ABERDEEN,UNITED KINGDOM,EDINBURGH,LOGANAIR LTD,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,63.000000
29/07/2024 11:48,202405,ABERDEEN,UNITED KINGDOM,GLASGOW,LOGANAIR LTD,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,124.000000
29/07/2024 11:48,202405,ABERDEEN,UNITED KINGDOM,HUMBERSIDE,EASTERN AIRWAYS,S,58,0,32,0.000000,22.222222,22.222222,5.555556,3.333333,5.555556,4.444444,1.111111,0.000000,0.000000,35.555556,26.879310,58,54.430380,18.775862
29/07/2024 11:48,202405,ABERDEEN,UNITED KINGDOM,KIRKWALL,LOGANAIR LTD,C,1,0,0,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,0,0.000000,0.000000
29/07/2024 11:48,202405,ABERDEEN,UNITED KINGDOM,KIRKWALL,LOGANAIR LTD,S,124,0,4,7.812500,39.062500,28.125000,7.031250,10.156250,2.343750,2.343750,0.000000,0.000000,0.000000,3.125000,13.024194,152,68.125000,19.776316
