run_date,reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,scheduled_charter,number_flights_matched,actual_flights_unmatched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_unmatched_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
13/02/2025 15:04,202412,ABERDEEN,POLAND,GDANSK,WIZZ AIR,S,26,0,0,26.923077,50.000000,15.384615,7.692308,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.461538,18,77.777778,7.666667
13/02/2025 15:04,202412,ABERDEEN,UNITED KINGDOM,BELFAST CITY (GEORGE BEST),LOGANAIR LTD,S,32,0,2,5.882353,61.764706,17.647059,8.823529,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.882353,3.281250,38,60.000000,33.947368
13/02/2025 15:04,202412,ABERDEEN,UNITED KINGDOM,BIRMINGHAM,LOGANAIR LTD,S,122,0,0,8.196721,54.918033,24.590164,3.278689,4.918033,4.098361,0.000000,0.000000,0.000000,0.000000,0.000000,7.385246,122,58.064516,32.762295
13/02/2025 15:04,202412,ABERDEEN,UNITED KINGDOM,BRISTOL,LOGANAIR LTD,S,37,0,7,9.090909,40.909091,25.000000,6.818182,0.000000,0.000000,2.272727,0.000000,0.000000,0.000000,15.909091,6.513514,40,52.500000,37.725000
13/02/2025 15:04,202412,ABERDEEN,UNITED KINGDOM,EDINBURGH,LOGANAIR LTD,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2,33.333333,113.500000
13/02/2025 15:04,202412,ABERDEEN,UNITED KINGDOM,HUMBERSIDE,EASTERN AIRWAYS,S,36,0,2,7.894737,44.736842,21.052632,5.263158,13.157895,2.631579,0.000000,0.000000,0.000000,0.000000,5.263158,9.972222,42,41.538462,27.190476
13/02/2025 15:04,202412,ABERDEEN,UNITED KINGDOM,KIRKWALL,LOGANAIR LTD,S,117,0,9,11.111111,36.507937,23.809524,7.936508,6.349206,5.555556,1.587302,0.000000,0.000000,0.000000,7.142857,14.076923,116,61.363636,20.112069
13/02/2025 15:04,202412,ABERDEEN,UNITED KINGDOM,GATWICK,EASYJET UK LTD,S,116,0,2,5.084746,45.762712,20.338983,7.627119,4.237288,5.084746,5.932203,2.542373,1.694915,0.000000,1.694915,30.525862,118,61.864407,25.906780
13/02/2025 15:04,202412,ABERDEEN,UNITED KINGDOM,HEATHROW,BRITISH AIRWAYS PLC,S,441,0,20,9.761388,43.817787,24.728850,8.676790,4.555315,3.687636,0.216920,0.216920,0.000000,0.000000,4.338395,9.666667,320,60.360360,17.928125
13/02/2025 15:04,202412,ABERDEEN,UNITED KINGDOM,LUTON,EASYJET UK LTD,S,30,0,0,16.666667,23.333333,26.666667,13.333333,13.333333,6.666667,0.000000,0.000000,0.000000,0.000000,0.000000,15.600000,42,76.190476,12.619048
