run_date,reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,scheduled_charter,number_flights_matched,actual_flights_unmatched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_unmatched_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
15/01/2025 10:02,202411,ABERDEEN,CANADA,TORONTO,TUI AIRWAYS LTD,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,44.000000
15/01/2025 10:02,202411,ABERDEEN,POLAND,GDANSK,WIZZ AIR,S,26,0,0,23.076923,53.846154,19.230769,0.000000,0.000000,0.000000,3.846154,0.000000,0.000000,0.000000,0.000000,6.153846,18,88.888889,3.333333
15/01/2025 10:02,202411,ABERDEEN,UNITED KINGDOM,BELFAST CITY (GEORGE BEST),LOGANAIR LTD,S,34,0,0,26.470588,41.176471,17.647059,8.823529,5.882353,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.352941,34,79.411765,8.117647
15/01/2025 10:02,202411,ABERDEEN,UNITED KINGDOM,BIRMINGHAM,LOGANAIR LTD,S,147,0,1,10.810811,41.891892,26.351351,6.081081,10.135135,2.702703,1.351351,0.000000,0.000000,0.000000,0.675676,12.020408,148,71.710526,21.337838
15/01/2025 10:02,202411,ABERDEEN,UNITED KINGDOM,BRISTOL,LOGANAIR LTD,S,46,0,0,13.043478,32.608696,34.782609,6.521739,8.695652,4.347826,0.000000,0.000000,0.000000,0.000000,0.000000,11.369565,48,59.183673,34.979167
15/01/2025 10:02,202411,ABERDEEN,UNITED KINGDOM,EDINBURGH,LOGANAIR LTD,S,1,0,0,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2,0.000000,70.500000
15/01/2025 10:02,202411,ABERDEEN,UNITED KINGDOM,HUMBERSIDE,EASTERN AIRWAYS,S,49,0,3,3.846154,40.384615,28.846154,7.692308,5.769231,5.769231,0.000000,1.923077,0.000000,0.000000,5.769231,14.755102,66,68.571429,15.893939
15/01/2025 10:02,202411,ABERDEEN,UNITED KINGDOM,KIRKWALL,LOGANAIR LTD,S,143,0,2,15.172414,48.275862,22.758621,7.586207,1.379310,2.068966,1.379310,0.000000,0.000000,0.000000,1.379310,7.230769,149,77.707006,16.369128
15/01/2025 10:02,202411,ABERDEEN,UNITED KINGDOM,GATWICK,EASYJET UK LTD,S,120,0,0,25.000000,39.166667,20.833333,6.666667,5.000000,2.500000,0.833333,0.000000,0.000000,0.000000,0.000000,7.800000,120,89.166667,6.183333
15/01/2025 10:02,202411,ABERDEEN,UNITED KINGDOM,HEATHROW,BRITISH AIRWAYS PLC,S,469,0,10,18.580376,44.885177,17.954071,5.636743,7.098121,2.713987,0.417537,0.626305,0.000000,0.000000,2.087683,9.742004,378,67.101828,15.166667
15/01/2025 10:02,202411,ABERDEEN,UNITED KINGDOM,LUTON,EASYJET UK LTD,S,22,0,0,27.272727,45.454545,13.636364,4.545455,9.090909,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,32,62.500000,16.343750
15/01/2025 10:02,202411,ABERDEEN,UNITED KINGDOM,MANCHESTER,LOGANAIR LTD,S,116,0,2,14.406780,44.915254,21.186441,4.237288,7.627119,3.389831,2.542373,0.000000,0.000000,0.000000,1.694915,12.250000,160,74.096386,16.481250
