iata,name,lat,lon,country,
SPI,Springfield Abraham Lincoln Capital Airport,39.844101,-89.677803,United States,
SGH,Springfield Beckley Municipal Airport,39.840279,-83.840279,United States,
SGF,Springfield Branson National Airport,37.245659,-93.388603,United States,
CEF,Springfield Westover Metropolitan Airport,42.194012,-72.534698,United States,
SEK,Srednekolymsk Airport,67.479218,153.735001,Russia,
SXR,Srinagar Airport,33.987129,74.774246,India,
SGO,St George Airport,-28.053333,148.593887,Australia,
SYT,St-Yan Airport,46.412498,4.01326,France,
YAY,St. Anthony Airport,51.391941,-56.083,Canada,
DGX,St. Athan Airport,51.404106,-3.439235,United Kingdom,
UST,St. Augustine Northeast Florida Regional Airport,29.959324,-81.337852,United States,
YCM,St. Catharines Niagara District Airport,43.1917,-79.1717,Canada,
STC,St. Cloud Regional Airport,45.546665,-94.059998,United States,
STX,St. Croix Henry E. Rohlsen Airport,17.70155,-64.801697,"Virgin Islands, Us",
ACH,St. Gallen Altenrhein Airport,47.485031,9.560775,Switzerland,
STG,St. George Island Airport,56.575466,-169.664078,United States,
SGU,St. George Regional Airport,37.029999,-113.510002,United States,
SBH,St. Jean Gustaf III Airport,17.90444,-62.843601,Guadeloupe,
YYT,St. John's International Airport,47.61861,-52.7519,Canada,
CPS,St. Louis Downtown Airport,38.573383,-90.146217,United States,
STL,St. Louis Lambert International Airport,38.748692,-90.370003,United States,
KSM,St. Mary's Airport,62.060001,-163.300003,United States,
SMK,St. Michael Airport,63.490002,-162.110275,United States,
SMV,St. Moritz Samedan Airport,46.534069,9.884106,Switzerland,
STP,St. Paul Downtown Airport,44.933334,-93.066666,United States,
SNP,St. Paul Island Airport,57.167332,-170.220001,United States,
SPG,St. Petersburg Albert Whitted Airport,27.76511,-82.6269,United States,
PIE,St. Petersburg Clearwater International Airport,27.91,-82.687401,United States,
LED,St. Petersburg Pulkovo Airport,59.800289,30.262501,Russia,
YST,St. Theresa Point Airport,53.84,-94.849998,Canada,
STT,St. Thomas Cyril E. King Airport,18.337299,-64.973297,"Virgin Islands, Us",
QEV,Stadtlohn Vreden Airport,51.995277,6.843333,Germany,
TYM,Staniel Cay Airport,24.1691,-76.439102,Bahamas,
PSY,Stanley Airport,-51.685699,-57.777599,Falkland Islands (Malvinas),
SCE,State College University Park Airport,40.84927,-77.848602,United States,
TBR,Statesboro Bulloch County Airport,32.4827,-81.7369,United States,
SVH,Statesville Regional Airport,35.765121,-80.951424,United States,
STA,Stauning Airport,55.99012,8.353906,Denmark,
SHD,Staunton Shenandoah Valley Regional Airport,38.263889,-78.896667,United States,
SVG,Stavanger Sola Airport,58.87677,5.637856,Norway,
STW,Stavropol Shpakovskoye Airport,45.109161,42.11277,Russia,
SBS,Steamboat Springs Airport,40.516666,-106.862503,United States,
WBB,Stebbins Airport,63.515984,-162.27803,United States,
SML,Stella Maris Airport,23.58144,-75.270401,Bahamas,
QCJ,Stendal Borstel Airport,52.629208,11.820399,Germany,
SEP,Stephenville Clark Regional Airport,32.21574,-98.177963,United States,
YJT,Stephenville International Airport,48.544159,-58.5499,Canada,
SQI,Sterling Whiteside County Airport,41.740002,-89.680832,United States,
STE,Stevens Point Municipal Airport,44.545277,-89.53083,United States,
SWO,Stillwater Regional Airport,36.15889,-97.085556,United States,
ARN,Stockholm Arlanda Airport,59.653545,17.939816,Sweden,
BMA,Stockholm Bromma Airport,59.35437,17.94165,Sweden,
NYO,Stockholm Skavsta Airport,58.788631,16.91218,Sweden,
VST,Stockholm Vasteras Hasslo Airport,59.589439,16.63361,Sweden,
SCK,Stockton Metropolitan Airport,37.894161,-121.237999,United States,
SKN,Stokmarknes Skagen Airport,68.580833,15.02611,Norway,
YSF,Stony Rapids Airport,59.25,-105.841003,Canada,
SRP,Stord Sorstokken Airport,59.79192,5.34085,Norway,
SYY,Stornoway Airport,58.215549,-6.33111,United Kingdom,
SRN,Strahan Airport,-42.154999,145.292007,Australia,
BBH,Stralsund Barth Airport,54.338089,12.714172,Germany,
SXB,Strasbourg Airport,48.538326,7.628381,France,
BDR,Stratford Sikorsky Memorial Airport,41.163471,-73.126099,United States,
RBM,Straubing Wallmuehle Airport,48.900833,12.516667,Germany,
QES,Strausberg Airport,52.580013,13.915923,Germany,
SWT,Strezhevoy Airport,60.7094,77.660004,Russia,
SOY,Stronsay Airport,59.154053,-2.640495,United Kingdom,
SUA,Stuart Witham Field Airport,27.182892,-80.22168,United States,
SUE,Sturgeon Bay Door County Cherryland Airport,44.843887,-87.421387,United States,
STR,Stuttgart Airport,48.689869,9.221964,Germany,
SGT,Stuttgart Municipal Airport,34.5,-91.533333,United States,
UAI,Suai Airport,-9.30331,125.287003,Timor-Leste (East Timor),
SFS,Subic Bay International Airport,14.79416,120.270836,Philippines,
SCV,Suceava International Airport,47.6875,26.35405,Romania,
SRE,Sucre Alcantari International Airport,-19.246836,-65.149612,Bolivia,
YSB,Sudbury Airport,46.625,-80.798798,Canada,
SGR,Sugar Land Regional Airport,29.611597,-95.647827,United States,
THS,Sukhothai Airport,17.223057,99.82222,Thailand,
SKZ,Sukkur Airport,27.721979,68.791679,Pakistan,
ISU,Sulaimaniyah International Airport,35.560799,45.314716,Iraq,
SIV,Sullivan County Airport,39.11425,-87.448326,United States,
SLR,Sulphur Springs Airport,33.160034,-95.621101,United States,
SWQ,Sumbawa Besar Airport,-8.489621,117.41217,Indonesia,
LSI,Sumburgh Airport,59.87888,-1.29555,United Kingdom,
SUP,Sumenep Trunojoyo Airport,-7.0242,113.890228,Indonesia,
SUR,Summer Beaver Airport,52.715279,-88.547501,Canada,
SUM,Sumter Airport,33.993317,-80.361992,United States,
NTY,Sun City Pilanesberg International Airport,-25.333799,27.173349,South Africa,
SDL,Sundsvall Timra Airport,62.528118,17.44392,Sweden,
MCY,Sunshine Coast Airport,-26.6033,153.091095,Australia,
SUY,Suntar Airport,62.184723,117.636108,Russia,
SUW,Superior Richard I Bong Airport,46.691113,-92.103333,United States,
SUB,Surabaya Juanda International Airport,-7.37983,112.786797,Indonesia,
SOC,Surakarta Adisumarmo International Airport,-7.51608,110.756798,Indonesia,
STV,Surat Airport,21.114059,72.741791,India,
URT,Surat Thani Airport,9.132603,99.135582,Thailand,
SGC,Surgut International Airport,61.343689,73.40184,Russia,
SUG,Surigao Airport,9.760528,125.481812,Philippines,
SKH,Surkhet Airport,28.586,81.636002,Nepal,
SVE,Susanville Municipal Airport,40.375557,-120.572777,United States,
EVG,Sveg Harjedalen Airport,62.04781,14.42295,Sweden,
SVJ,Svolvaer Helle Airport,68.243332,14.66916,Norway,
QTS,Swainsboro East Georgia Regional Airport,32.609016,-82.369804,United States,
SWP,Swakopmund Airport,-22.661943,14.568677,Namibia,
SWH,Swan Hill Airport,-35.375801,143.533005,Australia,
SWS,Swansea Airport,51.605331,-4.06783,United Kingdom,
YQY,Sydney J.A. Douglas McCurdy Airport,46.161381,-60.047699,Canada,
SYD,Sydney Kingsford Smith Airport,-33.946098,151.1772,Australia,
SCW,Syktyvkar Airport,61.647049,50.845051,Russia,
ZYL,Sylhet Osmani International Airport,24.96324,91.866783,Bangladesh,
